,Title,Course,Task2.1,Post_text,Categories,Instr_text
86,Question: Am I free to share Prof. David Archer's short talks and lectures ?,globalwarming-002,1,"I found the course very inspiring and practical, I would like to share some or all of the lecture videos with a small group of climate interested people on Face-book, that I am a co-editor for. Do I have permission to copy and share the lecture links from Coursera (I also found them on a site called Kaltura, although it appears to have been deactivated recently). I do not wish to violate any copyright infringements. 
",social,
87,Q about Work,howthingswork1-002,1,"Hi, could anyone please help me with understanding what does work mean? Work=Force*Distance, but I'm not sure I understand the distance aspect. Is it the distance the object does actually move in reality, or is it the distance the object WOULD move if there wasn't any air, friction or other factors? I mean, for example, you can push an object on a smooth surface with 1 newton force and it will move for, let's say, 30 cm and you can push the same object on rough terrain with the same 1 newton force and it will move only 5 cm. So the amount of work for the smooth surface will be more than for the rough terrain?",resolves,
88,Seesaws- interaction between the riders.,howthingswork1-002,1,"So gravity exerts a torque on each of the riders. That I get. But where did the 2nd torque come from? The one that the riders exert on each other? What force is involved? I'm so confused :( 
Nobody knows?",resolves,
89,arbitrariness of direction of torque,howthingswork1-002,"2,3.","If I'm riding my bicycle, I can see no reason to say that the torque is directed to the left rather than the right. Is the direction of torque just an arbitrary convention useful for simply describing rotational direction in 3 dimensions? The same question applies to angular momentum. 
Simon- Yes, the direction is somewhat arbitrary, but it is the standard. This is simply a convention that insures we all use a similar standard in our communication and application. When in doubt, think about opening the valve for your garden hose or loosening a screw...""righty tighty, lefty loosey"" (clockwise tightens; counterclockwise loosens)....and which way the screw moves. At some point we needed a convention to standardize our communication. Although there are some left handed threads on bolts (that make sure wheels do not fall off at inopportune times) the right hand-threaded lid on your pickle jar rules the day...and has established the convention that is honored for physics and engineering. Cheers!
Must say I found seesaws very hard in comparison. I am also experiencing difficulty in getting this towards me, towards you and left is up and right is down. If I spin myself around to the left looking up to the sky am I going upwards? If I hold a hockey stick with thumb downwards and spin around it to the right the angle is downwards (even though I haven't gone up or down). Oh, I knew physics could perplex me. But I'm learning far more than I thought I would. I knew by my prelim test I would be one that stood to learn most, lol.",elaborates,
90,Episode 2 - acceleration of free fall skydiver at terminal velocity,howthingswork1-002,1,"Dear Professor, fellow students I would like to have advise on the advise on the following. Today I had heated discussion with my colleague with regard to the acceleration and velocity of the free-fall skydiver. My colleague was arguing that there is a point during the fall when the skydiver's velocity (speed) is constant ( terminal velocity), hence there is no acceleration (g) at this point. I was arguing, that the acceleration is still there, but g-force is netted out by other force (air friction?), which makes the net force on the object equal to 0 and therefore velocity/speed of skydiver constant. Thank you very much for help. Elisabed",resolves,
91,When does the seesaw moves as obeying the Newton's First Law of rotation ?,howthingswork1-002,1,"Below is the Newton's First Law. A rigid object that is not wobbling and that is free of external torques rotates at constant angular velocity. According to this law, when does the seesaw moves in obeying Newton's First Law?
",resolves,
92,Why does bumper car carry no force?,howthingswork1-002,1,"Hi, I just watched the video Bumper Cars Part 1. The prof says bumper cars carries no force. Why is this so? Is it becos the bumper cars are travelling at constant velocity? Thanks",elaborates,
93,pulling wagon to top of ramp takes 4 steps not 3,howthingswork1-002,1,"You could argue 2 steps are sufficient to get the wagon to the top of the ramp, accelerate from a stop at the bottom of the hill then inertial movement requiring equal force to the downhill ramp force until you reach the top. Once you get to the top if you want to stop the wagon it will take 2 more steps: decrease the force allowing the wagon to accelerate in a downhill direction until it stops, then reapply equal force to maintain the wagon in an inertial velocity of zero, otherwise your wagon will roll right back down the hill. I would understand 2 steps or 4 steps better than 3 steps to get to the top. You either want to reach it, or get there and stay there.
I have a question on Ramps part 4, the work it takes to move the wagon up and down a hill. Is it fair to say that you are also doing work on your body, putting energy into moving your body up the hill, which is also stored as gravitational potential energy? But going up the hill you put work into moving both you and the wagon, while going downhill the gravitational potential energy is supplying the energy for the work to move both you and the wagon down the hill? So up the hill uses your energy and down the hill uses the stored gravitational potential energy. I don't understand quite how the energy is transferred from the wagon to the person going down hill. Maybe if I pretend I am a rubber band and lowering the wagon down the hill so the wagon's potential energy is transferring to me, decreasing the wagon's potential energy until it is zero while increasing he rubber-band's potential energy to spring back. But as humans we can't store the energy transfer, it just makes us hotter. Would that be correct -ish?",resolves,
94,Why upward acceleration(as soon as the ball is thrown up) isn't considered? Falling balls - Part5,howthingswork1-002,1,"As I understand it, when the Professor throws the ball up, he applies a force on the ball. Since a force is being applied on the ball, it is accelerated up and the ball gets an initial velocity. My question is, why isn't acceleration due to the force applied by the Prof (i.e. acceleration in the upward direction) being considered or mentioned?  Hope I'm clear.
Acceleration = velocity increases in the direction you're going. Deceleration = velocity decreases in the direction you're going (slowing down as you run up the stairs, remember?). Therefore, the upward movement of the ball (due to the exertion of force on it) is NOT acceleration but deceleration.   (You might find skating part 4 helpful). 
And I'd like to add to what I wrote earlier: You wrote: "" Since a force is being applied on the ball, it is accelerated up and the ball gets an initial velocity"" and that's not the way I understood the order of things (obviously, I can be wrong): I think that the force applied on an object determines its velocity but doesn't necessarily (or at all?) determine its acceleration. The acceleration is determined by something else. I mean, if it was how you describe it, than dropping a ball from rest it would just stay there, motionless (we didn't apply a force on it). But it does move, More than that- it accelerates... due to gravity. Since acceleration is the *change* in velocity over time, I think it's impossible to conclude an object's direction of acceleration from its velocity. Rather, we need to look at the greater picture and measure the change in velocity: increasing or decreasing. Thanks for posting your question, Karthik. I don't know if what I wrote here is correct, I only shared my understanding on that issue, but I liked the challenge in thinking of your question :)
 You wrote ""Acceleration of an object depends on the Force experienced by the object and its mass"" but actually, it depends on the net force and mass. And don't forget that in addition to the force you exert on an object- no matter in what direction- gravity (another force, that is) is exerted on it as well. Not to mention other forces we ignore for now, such as air resistance. Acceleration due to the force applied by the professor isn't mentioned because we study the motion of the ball from the time it leaves professor's hand. At this time, the force that professor was applying does not exist anymore therefore it does not influence the ball's motion.
Yes, this makes a lot of sense.. The point from which we undertake the study of the ball's velocity and acceleration etc. might explain it. I saw in another thread where something about the impulse/momentum transferred were mentioned while discussing the ball's motion. I still would like to hear more on this question. Thanks for your time. I appreciate it.",resolves,
95,Work and canceling forces,howthingswork1-002,1,"So prof. Bloomfield mentions the support forces never cancel out since they act on different objects. Does that mean that weight of the wagon is the same as support force of the ramp (sidewalk) on the wagon? Otherwise the net force would not be zero and the wagon should be moving. The second questions is regarding the definition of work as force * distance. If I support a very heavy rock above my head, aren't I doing work since my muscles are contracting and I have to resist the downward force of the rock? By definition, since the rock does not move, I am not doing any work on it. 
",elaborates,"When a wagon is on a ramp, they exert support forces on one another. The wagon exerts a support force on the ramp and the ramp exerts a support force on the wagon. Like all support forces, they act perpendicular (at right angles) to the touching surfaces and are therefore not vertical. The ramp pushes the wagon up at angle and the wagon pushes in the opposite direction. Because those two forces are a Newton's third law pair, they are equal in amount but opposite in direction. Those two forces are indeed on different objects, so they can't possibly cancel on another. The wagon's weight, however, has no direct relationship with the support forces. That weight points directly downward. There are thus two forces acting on the wagon: (1) the ramp's for on the wagon, which points up at angle, and (2) the wagon's weight, which points downward. Those two forces on the wagon cannot cancel because they don't point in opposite directions. When you add two vector quantities that aren't pointing along the same axis, they can't sum to zero. In this case, the sum yields a residue downhill net force. The wagon accelerates downhill in response to that net force. As for holding a heavy rock motionless, you do no work on the rock. You are pushing up on the rock to support so that it doesn't fall, but it moves no distance in the direction of your force. The rock receives no energy from you and it's total energy doesn't change. It still has the same gravitational potential energy (its altitude is constant, after all) and it still has the same kinetic energy (its velocity is zero and staying zero). But while you aren't transferring energy to the rock, you are transforming energy within your body from one form (chemical potential energy) to another form (thermal energy). You are essentially burning your food calories in your muscles and turning that energy into thermal energy -- the energy associated with temperature. You get tired and hot as a result, even though no energy leaves your body (I'm neglecting thermal energy that flows as heat to your colder surroundings). Bottom line: people don't make good statues. A statue could hold the rock up forever without any energy issues at all. There would be no transfers between statue and the rock, and the statue and rock would each have a constant energy. Lou If the net force on an object is zero, then the net work on the object as it moves will be zero. But that doesn't mean that individual forces aren't doing work or negative work on the object. For example, if you and a friend are playing tug-o-war with a rope and the rope is moving horizontally at constant velocity toward you, then you are doing positive work on the rope and your friend is doing negative work on the rope. Your friend's work on the rope is equal in amount but negative as compared to your work on the rope. So the rope's energy isn't changing (zero net work done on it). Instead, the rope is acting as a conduit through which you do work on your friend. Another example: you lift a box straight up at constant velocity. You are doing work on the box (you push up as it moves up) and gravity is doing negative work on the box (gravity pulls down as it moves up). The net work done on the box is zero. The box is acting as a conduit through which you do work on gravity. But in this case, gravity is storing the work done on it -- as gravitational potential energy. Since the earth itself doesn't move significant as you store energy in gravity or take that energy out, it is reasonable to associate that stored gravitational potential energy with the box. We say that the box has more gravitational potential energy than it had before you lifted it [even though that energy is shared between the box and Earth]. So the work you did on the box is effectively owned by the box as gravitational potential energy. Lou"
96,Seesaws part 6- torque direction,howthingswork1-002,1,"Couldn't understand the direction of both red & purple riders' torque due to gravity. Using the ""right hand rule"" didn't help, perhaps there's something wrong with my hand. Any suggestions? 
OK, got it. 
",resolves,
97,ball at peak height: is inertial for a brief moment?,howthingswork1-002,1,"Is it correct to say that a ball is inertial at its peak height? I would say no because the net force the downward force of gravity (not zero).  
",resolves,
98,How A Bicycle Really Moves?,howthingswork1-002,"1,3,5.","The derivation of how static friction is used to pull wheeled vehicles forward really blew my mind. I have a question below: Cycling the pedal turns the back wheel, also known as the power wheel. Assuming no-slip conditions, static friction on the ground pulls the back wheel, and thereby the whole bicycle, ahead. However, the front wheel experiences static friction that pulls it backwards. So, for there to be forward motion, the static friction at the back wheel must be larger than that at the front wheel?
Yes, I believe the static friction on the back wheel is larger than on the front wheel, because of the torque on the back wheel by your work on the pedal. I hope I say this correctly. 
 I think front and rear wheel experience almost the same static friction on the ground because they are under same condition (same material, roughness....) and exert half of the weigh to the ground (assume the CG is almost at the center between the two wheels.) As considering a slipping condition, a highly rotated rear wheel exerts a small friction on ground and makes the bicycle accelerates a little bit. As the same time, (same?) friction is exerted by the ground on front wheel and causes it rotates. what makes bicycle slow down is friction toque by wheel bearing and ground (e.g protrusion, sticking.....) 
I think the rear wheel must experience stronger friction than the front. How else will there be a horizontal force propelling the bicycle forward?
 The friction force from the ground on the front wheel ( a free wheel) only needs to be enough to give a torque to turn the wheel. This is not much of a force as can be demonstrated by lifting the wheel off the ground and turning it by hand. However, the force required to accelerate the cycle (and cyclist) forwards is much bigger, try pushing a cyclist who is not pedalling. This bigger force is the one exerted as static friction on the rear wheel. It needs to be big enough to accelerate the cycle plus cyclist, and overcome the friction on the front wheel. Cheers, Ken. 
",elaborates,
99,Falling balls. (Doubts).,howthingswork1-002,1,"Mass versus inercia. Velocity and acceleration. I think that I haven't catched the completed idea of why mass is more important than weight. Also, I can't understand why a ball downward is losing velocity when it is falling downward? (My wrong idea is that it must be accelerating by the force of gravity so velocity must increased 9.8 m/s^2).
I think you are right.  A falling ball's velocity is increasing about 9.8 m/s.
Hi Geraldine, a falling ball's velocity indeed increases in time, check out lecture 2-4 (min. 14). As for mass and weight- I'm not sure what you mean by ""more important""- could you explain?",resolves,
100,Switch off / on gravity - acceleration / inertia (Newton's 2nd law?),howthingswork1-002,1,"Let's suppose:   1) we switch off the gravity on Earth   2) we have too objects $$m_1 > m_2$$ hanging in the air, without acting any force on them   3) switch on the gravity  Now, from Newton's 2nd law (if I understand well) on the two objects will act the same forces (gravity) and so this force will cause different accelerations on the two masses, as they have different inertia (obviously $$m_1$$ has a bigger innertia as greater than $$m_2$$). But we know that this is not the case... the two objects will fall down with the same acceleration (g = 9.8 $$m/s^2$$) / same speed / same velocity. So where am I wrong? What I think that the objects reacts back as they have also gravity? But sincerely this is just a vague idea... I've just completed the 1st week.",resolves,
101,Is thermal energy usually wasted energy?,howthingswork1-002,"1,3.","Dr.Blomfield states in the lectures on sliding friction that generally thermal energy is a wasted form of energy. Though I understand his explanation about it being disordered, I still can't assure myself that more often than not thermal energy can't be used for doing work. What about when we cook our food in a cooking pan? Can't we say that the thermal energy is doing useful work there? 
I believe he said, that is it usually a wasted form of energy. I took it to mean in a human, he was using himself as an example, thermal energy is usually a wasted form of energy. Since volcano, fire, and boiling water is also thermal energy. I can also think of other wastes of thermal energy, the heat a computer puts off, and the same in your car, (assuming you don't live where it is freezing, than you need it). I hope this helps. Happy Learning. 
Hi, Yes, usually thermal energy can't be directly used in humans. But I guess I am a bit confused about what work means in the context of thermal energy. For example if thermal energy helps keep us warm (I am currently staying in a place where it snows) can we say that thermal energy has been put to use? Hi Prashanth, Thermal energy is usually (not always) considered as a  wasted form of energy in physics because we cannot ""recover"" it. In regard to the cooking of food, once the food is cooked, the thermal energy that is used to cook the food can no longer be recovered. It is also from the second law of thermodynamics that we cannot harness all the thermal energy for useful work. Cheers, ChinChai 
Hi, Cooked food has more energy than raw food. Check this out: http://blogs.discovermagazine.com/crux/2011/12/08/why-calorie-counts-are-wrong-cooked-food-provides-... So I guess when we cook, some of the thermal energy is being converted to some other form of energy (maybe chemical energy)? Again, the same question that I asked above, what defines whether thermal energy is being recovered or not? For example when we use heat to keep our body warm, aren't we kind of using the thermal energy?",elaborates,"In general, thermal energy is not nearly as useful as ordered forms of energy. For statistical reasons, ordered energy that has been ground into thermal (disordered) energy won't spontaneously turn back into ordered energy. Reordering that thermal energy will require consuming some other form of order. In an isolated system that is all at the same temperature, the thermal energy itself has no order available and none of it can become ordered energy without some external intervention [although there may be some other forms of order around that complicate the story]. However, if parts of that isolated system have different temperatures, there is order associated with those different temperatures and that order can be used to turn some of the thermal energy into ordered energy. That concept, in which a fraction of the heat flowing from a hotter thermal reservoir to a colder thermal reservoir is diverted and becomes useful work, is known as a heat engine. Basically, a heat engine uses the order in a two-temperature system to convert a portion of thermal energy into work while obeying Thermodynamics (mostly the 2nd law, or ""law of entropy""). In your cooking discussions, there are two temperatures: the hot oven and the cold food. There is order in that temperature difference and it is this order that allows all sorts of interesting things to happen as you cook. The food can change shape, make noise, undergo chemical changes, and so on, many of which involve ordered activities. The two-temperature situation provides the necessary order. Once everything is at the same temperature, the order is gone (at least the thermal energy portion of it) and not much new will happen. Lou The discipline is thermodynamics and statistical physics. Thermodynamics itself plays an important role in many areas of science and engineering. The modern issues of energy and power generation are deeply entwined with thermodynamics. Chemical engineering is just one of many fields that depend on thermodynamics. Nearly all the energy that goes into your home eventually becomes thermal energy. All of the electrical devices that are located entirely within your home, including your laptop, turns essentially 100% of the power it consumes into thermal power. Thus, if your laptop consumes 80 watts of electric power, it releases 80 watts of thermal power into your room. You can facilitate that flow of heat into your room by putting heat-exchanging fins or structures on your laptop, but it will still release the same amount of thermal power into the room in the long run. What will change, however, is the temperature of the laptop. The more efficiently it sends heat into the room, the lower the temperature at which it will reach that thermal balance (electric power in equal thermal power out). That's the value of heat sinks for CPU chips, etc. -- the heat sinks help heat flow into the room air and allow the CPU chip to reach balance (electric power in equals thermal power out) at a lower temperature (and safer temperature). Basically, if you don't mind your laptop getting fairly warm, don't worry about helping it release its heat into the room. It'll do that just fine and it was designed to reach balance without overheating. Lou"
102,falling balls-part 4,howthingswork1-002,1,"Respected Sir, zero gravity how was that possible to do so sir?????
Space travel or trick photography, whichever you find most convenient.
",resolves,
103,Puzzle!,howthingswork1-002,1,"If you fire a bullet from a gun along a perfectly horizontal path and simultaneously drop a bullet from the same height, which one will hit he ground first and why?
this is in Lewis Wolpert's The Unnatural Nature of Science. I know both hit the ground at the same time because the two forces are completely separate, but I still don't believe it. There's an Open University film somewhere of a toy train pulling a wagon with a cannon mounted on it. While the train is moving along the line, the cannon fires a ping pong ball straight up into the air and it falls back into the cannon's mouth a few yards along the track.  I bet it took many takes to get this to work, but it's a very impressive film) 
I don't know where my post went, sorry if this is a duplicate. The puzzle is in Lewis Wolpert's The Unnatural Nature of Science. I know both hit the ground at the same time but it's hard to believe! There's an Open University video of a toy train pulling a wagon carrying a cannon. The cannon shoots a ping pong ball into the air, which falls back into the mouth of the cannon a few yards down the track. It's a very impressive demo 
",elaborates,"In principle, at least, the dropped bullet and the horizontally-fired bullet will hit the ground simultaneously. The physics here is that the fired bullet is coasting horizontally at great speed, but its vertical motion is simply that of a falling object. Both bullets begin to fall at the same time and with the same initial ""vertical component of velocity"" -- the projection or portion of velocity that lies along the vertical axis. Both bullets accelerate downward at approximately 9.8 m/s2 and hit the ground simultaneously. We demonstrations like this frequently, but with balls instead of bullets. There are demonstration tools that drop two balls at once; one ball simply falls, while the other ball is shot horizontally by a spring. The two balls really do hit at the same time. The bullet-version would be dramatic and fun, but it would require a huge open space and complicated equipment to show both bullets hitting -- after all, they hit the ground at very different locations. [One final note: this story neglects air resistance, which will cause small discrepancies in the fall times, and it also neglects the curvature of the Earth. If the bullet is fired at too great a speed, it will go into orbit!] Lou Nice! I've never seen that demonstration done with a real gun before. What an amazing job they did setting it up and running it. Lou"
104,Necessity of thumb rule for specifying direction of rotation?,howthingswork1-002,1,"Hi, In week 4, Dr.Bloomfield talks about the need of thumb rules for specifying directions of rotation. For eg: The right hand thumb rule (see  episode 4 part 1). I understand that and agree with it. But why not just use positive and negative angles (based on which side rotation occurs) and specify the axis like x-axis, y-axis or z-axis. I have used this sometimes in mathematics courses and I wonder why can't we just use these notations to specify direction of rotation?",elaborates,
105,Falling Balls Part 3: Earth lb versus Moon lb,howthingswork1-002,"1,2.","We were told a lb on the Moon is less than a lb on Earth. Wouldn't the measures be relative to the place we are weighing? Would there be a earth lb to moon lb conversion factor? That would mean we would need a local reference for the weight stated on a package - per the example (1 Earth lb or 1 Moon lb.)
The gravitational force on earth is about 6 times more than that on the moon. So I would think that a lb on Moon is about 6 times less than that on Earth. As we have heard in lectures, the gravitational acceleration is not exactly same on all parts of the earth, and I would expect the same on the moon too.  But for most of the common purposes the gravitational acceleration can be considered constant. So I would say 1 Earth lb = 6 Moon lb. As for the statement on the package, a lb is not universal. Stating the mass (kg) on the packet would be a better way.
On earth a kg has weight 2.2 pounds force. Louis B is saying that on the moon a kg has weight of 2.2 / 6 pounds force. The relativity problem would come in if we weighed with weights on a scale. If we used a spring scale, for example, it wouldn't come in.",elaborates,
106,what is the differences between weight and mass ?,howthingswork1-002,2,"Today, professor said Mass is the measure of an object's inertia at lesson 3 in falling balls and weight is relate to gravity but mass doesn't. actually, In my life, I don't care whether stuff have weight or mass. so I've not understood differences of those concept. Please explain me easily. 
The weight is really the force that pulls the object to the surface of the earth. That force on the object gets greater and greater as we go up. That's why, if you drop your laptop from the top of a huge building, the laptop will suffer more damage than when you drop it 1 or 2 meters above the ground; there is a greater force acting on the laptop when it's higher above the ground. That force= weight . The mass is really just the kilogram or pounds of the object. If your laptop has a mass of 10kg, it remains the same wherever you go: at the top of the Eiffel tower, in the lowest caves,...etc or even in space!  Hope this helps!",elaborates,
107,Why is the speed of a falling object increasing?,howthingswork1-002,1,"The gravity force are constant. But why the object what is falling down is increasing in speed?
Hi johann. In NewtonÂ´s first law: An object that is at rest will stay at rest unless an external force acts upon it. An object that is in motion will not change its velocity unless an external force acts upon it. In that case gravity force is acting over the object during all way long (not only at the start), this is the reason of the aceleration. I hope this answer help you. 
",resolves,"Since falling occurs so quickly, it's hard to see the increasing speed of a falling object. You know instinctively that the speed continues to increase because you are more concerned about being hit by a falling apple that has dropped 10 meters than one that has dropped 1 meter. However, I suggest you watch Galileo's experiment: let a ball roll down a slightly tipped ramp. The physics is very similar to falling, but it occurs much more slowly. Watch how the ball's speed increases steadily as it descends. The ball is experiencing a constant downhill force and is accelerating downhill at a constant rate. As a result, its speed increases steadily. After all, acceleration is the rate at which velocity is changing with time. Lou That's a great question! The 10-kg ball in your photograph is much more difficult to accelerate than 1-kg ball. If they had equal weights, the 10-kg ball would accelerate more slowly than the 1-kg ball and lag behind. However, the two balls don't have the equal weights! The 10-kg ball weighs 10 times as much as the 1-kg. That's a remarkable result -- the force that gravity exerts on an object is exactly proportional to that object's mass. As a result, the 10-kg ball exactly keeps up with the 1-kg ball. The two balls accelerate at the same rate and fall together perfectly (neglecting air resistance). Lou"
108,Skating Part 1 - Why doesn't a slow knife cut the apple?,howthingswork1-002,1,"When doing the table cloth/apple cut ""tricks"", why does the cloth/knife have to be executed quickly?  Why would slowly removing the table cloth or cutting with the knife effect the object's inertial tendency to remain still more than doing it quickly? 
",elaborates,"Even though it is very sharp, the knife pushes a little bit on the apple. With enough time, that push will cause the apple to start moving fast enough to spoil the cutting process. By moving the knife as fast as I can, I limit the time over which the knife pushes on the apple and allow the apple's inertia to dominate the situation. The knife then succeeds in cutting the apple. The same is true for the tablecloth and dishes. There is a small frictional force on the dishes as the tablecloth moves underneath them. If I go to slow, that frictional force will get the dishes moving and they'll leave the table. By going fast, I minimize this nuisance effect and leave the dishes behind. Lou Gravity plays only a tiny roll in my knife-cuts-the-apple demonstration. If gravity were absent, the apple would have been hovering motionless above the aluminum plate, but the knife would have sliced through it just the same. The apple remained essentially in place because of inertia. If I were a better swordsman, I could slice the apple as fell and I could slice it in any direction -- up, down, sideways. If gravity were helping during an upward slice, it wouldn't be helping during a downward slice. Nonetheless, I could certainly slice it anyway. Don't hold your breath for hoverboards... it would be nice, but I'm not expecting to see them (alas). Lou 
"
109,Falling Balls-Part 4:  How to calculate the Velocity?,howthingswork1-002,1,,resolves,"Even though it is very sharp, the knife pushes a little bit on the apple. With enough time, that push will cause the apple to start moving fast enough to spoil the cutting process. By moving the knife as fast as I can, I limit the time over which the knife pushes on the apple and allow the apple's inertia to dominate the situation. The knife then succeeds in cutting the apple. The same is true for the tablecloth and dishes. There is a small frictional force on the dishes as the tablecloth moves underneath them. If I go to slow, that frictional force will get the dishes moving and they'll leave the table. By going fast, I minimize this nuisance effect and leave the dishes behind. Lou Gravity plays only a tiny roll in my knife-cuts-the-apple demonstration. If gravity were absent, the apple would have been hovering motionless above the aluminum plate, but the knife would have sliced through it just the same. The apple remained essentially in place because of inertia. If I were a better swordsman, I could slice the apple as fell and I could slice it in any direction -- up, down, sideways. If gravity were helping during an upward slice, it wouldn't be helping during a downward slice. Nonetheless, I could certainly slice it anyway. Don't hold your breath for hoverboards... it would be nice, but I'm not expecting to see them (alas). Lou 
"
110,What does sliding friction do to the momentum of a moving box?,howthingswork1-002,1,"Episode 5 part 3 looks at what happens to a moving box coming to a full stop on an 'unmoving' table due to sliding friction. Revisiting this situation  after watching the bumper car lectures:  does friction violate the conservation of the linear momentum of the box-table(earth) system?  Can the table truly remain unmoving? (If not, why is the box not doing positive work on the table, while it is doing negative work on the box?) I  am guessing that the momentum is conserved, but completely masked by all the other physics Professors who crash their wagons at the same time onto their tables at different angels (and other interactions)..... or in other words that to observe the conservation of motion is only possible when looking at an isolated system. But at a microscopic level: if friction transforms the kinetic energy of the box into unusable heat energy, is the overall directional component of the momentum still conserved in the erratic heat movements? Thanks for some answers....",elaborates,
111,Falling balls 'the monkey and hunter experiment',howthingswork1-002,1,,resolves,
112,Some examples of marriages movies,marriageandmovies-001,1,"I was thinking in The appartment with Jane Fonda and Robert Redford and Memories with Barbra Strisand and Robert Redford. Could be considered as examples of marriage films??
I haven't seen those. How about these examples. Are these marriage movies? - the green card http://www.imdb.com/title/tt0099699/ - 4 weddings and a funeral http://www.imdb.com/title/tt0109831/?ref_=fn_al_tt_1 - the proposal http://www.imdb.com/title/tt1041829/?ref_=nm_flmg_act_9 - while you were sleeping http://www.imdb.com/title/tt0114924/?ref_=nm_flmg_act_33 As said in the lectures, it's mostly about the chase for a partner in the movies, not the marriage it self. 
Is ""Breaking the waves"" by Lars von Trier a marriage movie? I think so, because the story wouldn't be the same, if the protagonists were not married.
Hi Anna, I think ""Breaking the Waves"" is a very interesting movie and that it ""qualifies"" as a marriage movie, yes, even if it is a really crazy one! Iâm not sure if anyone brought up this film to the discussion already but I think âBefore Midnightâ (2013) is the perfect example of a marriage movie in recent years. Not just because it is the case that the movie wouldnât function in any way without the central couple but also because it resolves one of the problems Jeanine talked about in one of the first lectures: the problem of a marriage being a subject that takes a long period of time to develop. As you know, âBefore Midnightâ is the third movie of the Linklater trilogy about the relationship of Jesse and Celine â being the first one, âBefore Sunriseâ (1995), about falling in love, the second one, âBofore Sunsetâ (2004), about the reencounter, and, finally, âBefore Midnightâ, specially focused on the aspects of a long-term relationship. I just love this film and think that the director made an excellent and subtle job showing what changes and what the challenges are for people when they decide to stay together. 
Brief Encounters is a film that will be discussed in the 3rd week. It is an excellent film story by Noel Coward. What I like about it is that it involves emotional infidelity but not in the usual way films have it. I.e., with the married person having a spouse who is insufferable or an idiot. That is such an easy rationalization for stepping outside the marriage. But in Brief Encounters, the spouse being left at home is simply not the same as the other guy and so the woman develops a strong desire for a different person. Well at least that makes for a more complicated and perhaps realisitic story to tell and Coward's screenplay handles it extremely well. 
When Anthony said ""Brief Encounters"" I thought ""Close Encounters (of the Third Kind)"", and it made perfect sense to me. It took me a while to realyse the misunderstanding. I didn't see the movie ""Brief Encounter"" yet but now I'm very curious about it. At first it seemed very difficult to think of a ""marriage film"" but know they keep popping up in my mind. Thinking about ""Close Encounters of the Third Kind"" (a film I really don't like), at the surface it seems like a sci-fi movie but it's actually about a guy that feels bored with he's family and wants to experience something knew, to encounter someone who shares his point of view. Not the aliens! but the other woman with whom he feels useful and at home. Does it sound too far-fetched?
 Does Gaspar Noe's 'Irreversible' count as a marriage movie? If it does, it must be one of the most disturbing ones ever. It's interesting that the two main actors in it, Vincent Cassell and Monica Bellucci, are married in real life too. 
My example of a Marriage Movie would be ""Mr. & Mrs. Smith"" with Brad Pitt & Angelina Jolie. It does have excitement, true, but the marriage is what makes the movie. If the characters were not married then it would be any other cookie-cutter action movie.
 I would class the 1968 film 'The Lion in Winter' as largely a marriage movie. Although its context is the politics of Henry II's 12th century court and especially those of his bickering family, at the very centre of the film is the turbulent marriage of Henry II and Eleanor of Aquitaine, as played out in all its drama and comedy during a Christmas court. These central characters have been married long and we learn of their many traumas and battles with each other over the years, which still continue, and yet somehow they remain oddly a couple who have genuine affection for each other. Although this is a historical and royal setting, there are elements in this marriage which must surely resonate with contemporary audiences.",elaborates,"Haven't thought about ""Close Encounters"" in a long time, but your description of the couple's relationship rings a bell. I wonder about other classic ""genre"" films (SciFi, horror, suspense, crime, historical/biopic, etc) that are also about marriages, especially marriages where something goes very wrong: ""Poltergeist"" ""The Incredible Shrinking Man"" ""The Incredible Shrinking Woman"" ""Gaslight"" ""The Shining"" ""The Man Who Knew Too Much"" ""The Godfather"" ""The Sopranos"" (TV) Come to think of it, ""Orson Welles and Marriage"" might be a master's thesis for someone, if it hasn't been already, perhaps many times over... -- ""Citizen Kane"" -- ""The Magnificent Ambersons"" -- ""The Stranger"" ""It's a Wonderful Life"" (like Kane, has this film been watched and written about too much to be part of our category?) ""Superhero Marriages"" could be another multimedia dissertation for someone... Or a lighthearted essay... Or a self-help best-seller... ""The Incredibles"" ""Lois and Clark"" (TV series) ""The Fantastic Four"" ""Mad Men"" (thinking of Don Draper as a superantihero -- secret identity, power to cloud men's minds, etc.) Pardon my ADHD and whimsy... Bob in Virginia  Even the marketing of the film appears to agree, as shown in the image at the right from a film trailer, via the Nick & Nora Charles Wikipedia page . And then there's the dog... I see someone has a Thin-Man-series ""I Love Asta"" website . I agree wholeheartedly with a comment there: "" Audiences today can't help but envy Nick & Nora Charles, and what's not to love? They're fabulously wealthy, madly in love, and seem to do whatever the hell they want. They sleep till noon, always have cocktails on hand, get tangled up in wonderful adventures, and seem to have a very sexy - and very genuine - relationship."" 
"
