,Title,Course,Task2.1,Categories,Post_text,Comment_text,Post_count,Comment_count
126,just how wild are the orchids?,marriageandmovies-001,1,elaborates,"Just as film allows audiences to experience luxury bathrooms and clothing vicariously, there is also the opportunity to safely contemplate crossing the boundaries of conventional relationships. In Wild Orchids, doesn't Garbo's character have a repulsion/attraction to the Prince's brute beating of a servant? She sees the beating, then recalls it when she sees him--is this a fantasy desire to be dominated? Initially he forces kisses on her, but later on, she kisses back. I was struck by how well she was able to communicate without dialog. In the clip that was part of the lecture, her disappointment at her husband's rejection of her Javanese outfit is so clear, from how her shoulders sag. . . We never learn how she came to be married to such a fuddy-duddy
",,1,0
127,BioPics as marriage movies?,marriageandmovies-001,1,social," Many biographical films about a famous man or woman would probably qualify as marriage movies, since the marriage partner, and so the marriage, often plays a central role in the success of the lead character. For example, Coal Miner's Daughter wouldn't have been made without Mooney Lynn's (Tommy Lee Jones in the movie) role in making his wife Loretta Lynn's career. The Johnny Cash bio pic Walk the Line probably wouldn't have been made without June Carter Cash. Even the Iron Lady needed Dennis Thatcher. 
Good point. Actually Walk the Line was released in Brazil with the title ""Johnny and June"", focusing on the couple.
this is a good point, and a reason why defining the ""Marriage Movie"" is so complicated. Marriage being such a powerful social construct means that the BioPic is most often going to deal in some way with Marriage or Marriages in the case of Johnny, I keep thinking of something like Giant, where the marriage is not the cause of the drama but it is the constant and over lying theme. Is Family Drama another category? 
",,3,0
128,Were there copyright issues regarding Andy Warhol?,warhol-001,1,social," It occurred to me that Warhol walked a thin line by appropriating commercial art labels and iconic images in his work. Campbell's soup is apparently ok with it now, since they sold tomato soup in Warhol ""signed"" cans recently. What about then? 
 Don't know about soup, but Warhol silkscreened ""Flowers"" from a photograph lifted from a magazine. He didn't ask the photographer for permission. She sued. He lost. 
",,2,0
129,Today's New York Times Art Section Full of Warhol,warhol-001,1,resolves,"I was pleased today to open my copy of the New York Times and find a full page picture of Andy Warhol wearing a sandwich board of Race Riot at the Factory, 1964. The page is an ad from Christies. There is a Warhol quote: ""During the '60's, I think people forgot what emotions were supposed to be. And I don't think they've ever remembered."" The caption reads: ""The year was 1964. Photographs in newspapers across the United States revealed a terrible truth--the land of the free was a battlefield scarred by deeply rooted racial inequality. Amid these headlines, Andy Warhol produced a series of works depicting an attack on civil rights protesters in Birmingham, Alabama. Fifty years later, these groundbreaking works exemplify Warhol;s ability to create art that defined an era."" Another full page shows Warhol's Race Riot (1964) and invites readers to view it for an auction on Post-War and Contemporary Art on May 13. Another announcement from Blain di Donna Gallery announces Warhol:Jackie through May 17. Right under that is an announcement of an Acquavella Gallery showing of Jean Michel Basquiat Drawing : Work from the Schorr Family Foundation. I share this info just to underline that the materials we are engagng in this course are extremely timely in the broader art scene. Of course, that will not come as a surprise to most fellow students. We already seem to be Warholians to one extent or another. But it is so interesting to see that Warhol is very present still today. And if you have the luck to live in or near Manhattan, why don't you go to these events and share your impressions with the rest of us who live far from the Big Apple? 
I wish I were near Manhattan so I could attend a couple of these events!","
",2,1
130,Marilyn Diptych 1962,warhol-001,1,resolves,"This work was done in the weeks after Marilyn Monroe's death in 1962. One of Warhol's themes was death and I think the right hand side shows that - as Marilyn fades away The work is certainly iconic and has been much-copied #MATH
I intend to visit the Tate soon to view this art.
I do not agree that the ubiquitous repetition of Marilyn Monroe's face signifies death. Since each repetition is different but subtle I feel that there is a quality of alivness to the pictures.. John Breeskin 
 I think the coloured part means Life, celebrity, beauty ; the other half in black and white stands for Death, something that fades away ( life, beauty ... Who knows?).","I do not agree that the ubiquitous repetition of Marilyn Monroe's face signifies death. Since each repetition is different but subtle I feel that there is a quality of alivness to the pictures.. John Breeskin 
",3,1
131,The Rolling Stones Andy Warhol Zippers and Sticky Fingers,warhol-001,1,social,"The 1970s witnessed a flood of open sexuality - post-Stonewall riot, birth of disco, Transcendental Meditation and Swinger's clubs are all coming signs of the sexual revolution. Sex, or rather, the more open attitude about it was everywhere. Warhol, a quiet, conservative Catholic homosexual must have had a sigh of relief - after having fully recovered from an assassination attempt (by Valerie Solanas) he surrounded himself with me and began to feverishly create works that walks the line between art and pornography. When asked to create the cover and concept for the Rolling Stones' ""Sticky Fingers"" album Warhol was quick to capitalize on the sexual allure of lead singer Mick Jagger (The image is NOT of Jagger by the way) and Warhol's casual remark to Jagger that it would be interesting to have an album cover with a zipper on it. When you undid the belt buckle, white cotton underwear stamped with Andy Warhol was revealed (it also served to protect the vinyl from the real metal zipper). Gone is the playful innuendo of a large banana (from the Velvet Underground) finding in this work, Warhol flaunting his voyeuristic sexuality (a male with a rather large penis), his interest in combing art with mass consumption (the album would be one of the Rolling Stones' most successful), along with the continuation of his fascination with provoking the boring. Please upflag this post if you've read it or bought the album! 
This was such great album cover! I remember seeing it on display in a record store at the time, and would've have bought it if I'd had enough money. Unfortunately, the zippers caused serious problems in the distribution process, such as tearing the cellophane wrappers and catching on each other in stacks. Andy must have conceived this as an artwork on the wall, and not packed into cartons sitting on forklifts. 
Alice Thanks for reading and replying to my post (maybe give it an up flag?) I worked for years at a record store and saw hundreds of this album fly out the door. It was too bad that later reissues did away with the real zipper and cloth undies ...
Warhol did a quite few album covers including Love you live.According to: #URLREF#URLREF-post-6-musicgraphics/ RCA Records hired Warhol, along with another freelance artist, Sid Maurer, to design album covers and promotional materials. I wonder who Mick is biting and why. The hand looks feminine. However, given their relationship, it might be Keith. Yes, I know, there is no skull ring or have I the wrong hand. The count Basie is a little tamer and nothing risque about Hugo Winterhalter album. Both I think would be early work. 
Darryl: Thanks for commenting on my thread and it shows how quick corporate America is quick to capitaliz on the usccessful. The Gershwin cover comes from a drawing Warhol did in the 50s - probably reflecting the age of the music. If I saw the Basie out of context, I might even be hard pressed to vote it a Warhol cover. As for the Stone - no doubt - and maybe the hand is the hand that feed you. :-)
Awesome post man, I didn't know about the Sticky Fingers cover, but I find it very controversial even by today standards, a bold move for Warhol and the Rolling Stones.",,6,0
132,Porn as art ?,warhol-001,1,requests,"It seems to me that Warhol is treating pornography in the same way, essentially, as he treated Campbell's Soup, in that he's taken something that already existed commercially ( even if ""underground"") and made it into art by putting the Warhol stamp on it. ""Blow Job"" is, I think, interesting as it's not unlike the product of the underground porn studios of the time who tended to offer more than they delivered in terms of content. The same is true of ""Hollywood"". I remember the posters for the film ""Barbarella"" prominently stating that ""She strips in space"" ( I've no idea if she did or not, I've never seen it but I'm confident that it wouldn't have been the ""full monty"".). 
Barbarella never stripped (in film ) . Guess Warhol took what was a common way of thinking and turned it upside down . His movies are hard to find i guess .
Oh yes she did! She was played by Jane Fonda. It was in the opening sequence of the movie. You must have seen a censored version.
 Perhaps, as a devout Catholic he was challenging his own religious beliefs. #URLREF 
Pornography is defined as writing or images designed to stimulate sexual excitement. It's constantly around us as entertainment. I'm watching Game of Thrones and that's a lot more graphic any any couch Andy had. The slippery slope of course is when there is lack of consent, or harm is being done. 
I've been thinking about this ( probably not good for me !) and it seems to me that , historically, there was no shortage of ""pornography"" in art, including plenty of homo-erotic depictions , from Ancient Greek and Roman vases and paintings through prints from Japan and China and ""secret works"" by Rowlandson etc and Aubrey Beardsley etc. So what was different here ? Is it the media that Warhol was using, is a ""pornographic"" photo somehow more ""pornographic"" than a lithograph ? 
","Oh yes she did! She was played by Jane Fonda. It was in the opening sequence of the movie. You must have seen a censored version.
",5,1
133,Warhol sex,warhol-001,1,social,"about sex and Warhol, i think he had a fixation on sex, homosexuality was part of his nature. a character not understood by society, being a mystery. In his works and films reflects this mystery and this fixation so sexual. featured erotic scenes in her movies. In his works was the same. It was a season that full of taboos but because he had great success on no matter what society thought.
",,1,0
134,Warhol's Homosexuality and Art - Culture,warhol-001,1,elaborates,"I think it's interesting how many of the themes, subjects, and general creativity may be related back to Andy Warhol's homosexuality and his openness about it. Perhaps viewing the world as an ""outsider"" provided a very distinct viewpoint. Being different and open about it (also his dress, appearance) takes away inhibitions - removes the risk because he's already an outsider. It's not just how he reconciled his sexuality to religion, but how he reconciled his sexuality to life, America, culture, publicity.... As someone has mentioned: ""I don't see why his sexuality should matter"". Perhaps, in America in the 1960's - it really does matter. Was the art influence by his sexuality, and/or was his open living influenced by his art?
 Great point! I think his open living was influenced by his art. 
I think his sexuality is refleccted in his art. In his art but also in his appearence, as you said. Sexuality is something about yourself, is part of you. Without it, you may see things different. That is why I think that yes, what we see in his works is his identity. 
 As a lifelong follower of Andy Warhol, I am slightly ashamed to admit that I had forgotten the very homoerotic nature of Warhol's initial forays and failures into the world of ""fine art"" throughout the 1950s. The following is a touching and at times chilling profile of Andy Warhol that relies upon source material rather that conjecture and speculation... #URLREF 
One can easily speculate Warhol's once overt homoerotic content became ubiquitous and subvert as and after he attained the recognition and notoriety he claimed to desire.
Andy Warhol is very important for the queer culture. Considering his first films about the homoerotic content, we can say his one of the first film makers at this kind at his era. His homosexuality is liquid to all his work, point of view, full of symbolism and allegory. In this way, I believe that his homosexuality was something like an idea for him. 
I am sort of offended by the term queer for people who are gay. 
I always thought of Warhol as presenting an asexuality. I assumed that it was probably a pose and/or a way of keeping people guessing to increase the mystery and thereby the 'superstardom'. 
The first works that Warhol submitted to a fine art gallery, homoerotic drawings of male nudes, were rejected for being too openly gay.The fact that Warhol's homosexuality influenced his work and shaped his relationship to the art world is a major subject of scholarship on the artist and is an issue that Warhol himself addressed in interviews, in conversation with his contemporaries, and in his publications.Throughout his career, Warhol produced erotic photography and drawings of male nudes. Many of his most famous works
 #URLREF-warhol-sex-parts-1978-FS-II.#URLREF 
Don't forget the relationship between warhol's openly gay works and art market. The second one loves provocation and that always increases prices. Thats something we must have in mind with warhol, an artist that loved money, and he openly admitted! The openly gay works of warhol is another product of success of his ""factory""
I wonder how different his art would've been if he had taken a different path in his personal life and allowed himself to be openly gay? Perhaps the art would've come back to the same juncture of pop art because in the end he cared most about money and therefore needed to find a way to make art that allowed for that. However, it is interesting to speculate.","I think his sexuality is refleccted in his art. In his art but also in his appearence, as you said. Sexuality is something about yourself, is part of you. Without it, you may see things different. That is why I think that yes, what we see in his works is his identity. 
I am sort of offended by the term queer for people who are gay. 
 #URLREF-warhol-sex-parts-1978-FS-II.#URLREF",9,3
135,Warhol: celibacy homosexuality and the church.,warhol-001,2,elaborates,"An interesting article: #URLREF-warhol-gay-and-#URLREF In the piece it states ""For Andy Warhol to be openly gay (he mentions heâd âalways had a lot of fun with that â just watching the expression on peopleâs facesâ¦) and at the same time intentionally celibate seems to represent a certain peace about the man, an intellectual separation of the sinless same-sex attraction and the sinful homosexual action, and an effort at communion with the teachings of the Catholic Church."" I thought this was very interesting, and gave a little insight into how Warhol might have reconciled his feelings for men while remaining devout in a religion that is not always known for it's acceptance of homosexuals. 
I find it very fascinating that he was so openly gay during a time when it was not at all accepted as is it today. Besides being a great artist, he was a strong man to be able to stand up and admit he was homosexual during a time when society did not recognize it. I wonder what he would think now about our society and homosexuality after 20 plus years after he died.
I think he was a very lonely soul despite being around many. He always seem sad.",,3,0
136,The Philosophy of Andy Warhol (From A to B and Back Again),warhol-001,"2,3.",requests,"See Extract One in Week Two. I believe this tracks a simple arithmetic logic, but uses a discussion of sex to do so. It is about working a series of a, b logic statements but seeing if it can be made more meaningful to the reader by using attitudes to sex, and then men and women as the a and b variables. 
That book (great title!) is amazing and warholian in the sense that is all very contradictory: logical in its illogical premises, shallow and, because of that, full of deep insights, playful and serious. And it works. I think pop is that: when Nik Cohn talked about pop music he said that sanity and sense killed it. Could this be also applied to pop art? 
With regard to The [so called] Philosophy of Andy Warhol... In March 1974 Andy Warhol signed two book contracts with Harcourt Brace Jovanovich. One contract was for what would become The Philosophy of Andy Warhol #MATH From... #URLREF 


 There was a recent panel discussion on YouTube between Bob Colacello, Brigid Berlin, and Vincent Fremont on Andy Warhol during which they shared, among other stories, anecdotes about how Bob Colacello would get stoned and ""channel"" the voice and philosophy of Andy Warhol while Brigid Berlin took dictation and helped keep Colacello in character. Bob Colacello was Andy Warhol's social collaborator, photographer, and travel companion, as well as editor of Warhol's Interview magazine for twelve years between 1970 and 1982. Brigid Berlin was one of Andy Warhol's ""Superstars"" and appeared in numerous Warhol films including ""Chelsea Girls"" in 1966 and ""Ciao! Manhattan"" in 1972 before working full time as a transcriptionist at Interview magazine from 1975 to beyond Warhol's death in 1987. Vincent Fremont has been working for Warhol since 1969 and was a central contributor to Warhol's film, television, and video forays before serving as vice president of Andy Warhol Enterprises and as one of the named founding members of the Andy Warhol Foundation for the Visual Arts as laid out in Warhol's last will & testament. Until the dissolution in October 2011 of the Andy Warhol Art Authentication Board to which he also consulted, Vincent Fremont held a lucrative position as the sole sales agent for artworks in the possession of the Andy Warhol Foundation for the Visual Arts. #URLREF#URLREF?v=i17g3wPDfa4 
 Denis, thank you for these. I'm loving so many of the forum contributions and references. You've given us a wealth of info and a springboard in just these two comments alone. I'm happily wasting hours perusing the #URLREF site. It appears AW was comfortable appropriating more than images. He wasn't generous about giving others credit. So much for collaboration, I guess. What a complicated guy. As an aside, it hit me hard to learn that Jed Johnson(Jay's twin) died on TWA flight 800's crash on July 17, 1996 as my best friend also died in that crash. It was a NYC to Paris flight that crashed off Long Island. She was a homicide detective with the Portland(Oregon) Police Department. 45 years old. So sad.",,7,0
137,Attempt to Murder Warhol : Altamont :: Heyday of The Factory : Woodstock,warhol-001,1,requests,"As the idealism of the ""Summer of Love"" (1967) had its culmination at Woodstock (August 1969) and ended with the murder at Altamont (December 1969), so Andy's vision of an artistic utopia, The Factory, was permanently altered by the attempt on his life by an associate (June 1968). In both cases, a certain naivete about the possibility of collective cooperation was permanently lost. Andy's near-death experience made him, once again, a mirror of his culture, but this time in a most unwelcome way. 
Yes, and Andy took it further by making an artwork of a gun like the one that nearly killed him. I don't think many victims of violence would create an artwork based on their personal experience. The gun silkscreen must have been startling to contemporary society, and it certainly made a statement about the commodity and icon status of the gun at that time.",,2,0
138,Printing money?,warhol-001,1,elaborates,"It seems glaringly obvious now, but it never really occurred to me before that by making prints of dollar bills, Warhol was literally printing money. So not only was he appropriating the image and idea of the bill, he was mimicking its production too. The idea of the exposure of the commodification of art as a piece of art you hang on the wall is also really interesting. Art = money/money = art, therefore art is business. 
",,1,0
